index,stars
0,3.86364275
1,4.584413601
2,3.718588759
3,3.336809864
4,1.961633272
5,4.208129423
6,4.158930003
7,3.607323177
8,4.176649864
9,4.771710765
10,4.470735735
11,3.097811638
12,3.371505944
13,4.448369127
14,3.472172618
15,4.045364933
16,3.13979302
17,3.720303838
18,2.528782597
19,4.028490068
20,4.875719509
21,3.210310118
22,3.441629923
23,3.417951498
24,3.179074012
25,4.005090669
26,4.640284885
27,4.684925616
28,3.517399847
29,4.717269131
30,4.371903028
31,4.419130322
32,4.108354964
33,2.72111178
34,4.669476995
35,3.871985706
36,1.992058013
37,3.684335849
38,4.314776774
39,2.973354258
40,4.06181684
41,4.510705239
42,4.052345036
43,3.908419657
44,3.806055776
45,3.915510603
46,2.57041667
47,4.771509051
48,3.48503684
49,3.992562351
50,2.392052915
51,3.690146648
52,3.915225182
53,2.845627262
54,4.960626717
55,4.134949444
56,3.343021757
57,3.71705926
58,3.523381605
59,4.334384923
60,4.492283891
61,4.326177643
62,3.669186852
63,4.856841889
64,3.655462809
65,3.520406812
66,1.611925013
67,4.624428812
68,2.969178624
69,4.197689396
70,2.874306467
71,4.977012886
72,3.858872379
73,3.614210596
74,3.233045538
75,3.738284029
76,4.482858702
77,3.308948621
78,4.108443371
79,4.27115536
80,3.840141721
81,2.788391283
82,4.66553489
83,3.865175508
84,4.019813995
85,3.69726606
86,4.903244372
87,3.4031571
88,4.96209009
89,2.967076983
90,4.3992411
91,4.416078945
92,2.932565909
93,4.497346095
94,3.387676293
95,3.027806348
96,2.323669542
97,3.966313536
98,4.757782347
99,3.37631806
100,4.067501421
101,3.843947951
102,4.305539464
103,4.259346131
104,4.263686902
105,4.234870768
106,4.793381492
107,3.690146648
108,4.661959331
109,3.68116537
110,4.040865272
111,4.274431854
112,3.093009128
113,3.990531396
114,3.331073231
115,4.521365056
116,3.219397346
117,3.702536177
118,4.46323624
119,4.762080606
120,4.185837246
121,3.793768502
122,2.940692903
123,4.128392006
124,3.64212698
125,3.3774122
126,2.338110655
127,4.056483376
128,3.895091987
129,3.954890977
130,3.681829478
131,4.359793015
132,4.400047222
133,4.019813995
134,4.404393016
135,3.016630258
136,2.534158228
137,4.936961826
138,4.418251318
139,3.847468356
140,2.858761733
141,4.93172337
142,4.799011532
